insert, 3900, 7603050, 0, 0.016173
merge, 3900, 24750, 46604, 0.000574
quick, 4000, 58845, 26845, 0.000257
insert, 4000, 7998000, 0, 0.016895
merge, 4000, 25549, 47904, 0.000591
quick, 4100, 55419, 28157, 0.000243
insert, 4100, 8402950, 0, 0.018084
merge, 4100, 26379, 49208, 0.000557
quick, 4200, 60822, 28165, 0.000245
insert, 4200, 8817900, 0, 0.018985
merge, 4200, 27016, 50608, 0.000881
quick, 4300, 59819, 31202, 0.000254
insert, 4300, 9242850, 0, 0.019973
merge, 4300, 27801, 52008, 0.000682
quick, 4400, 59003, 31494, 0.000250
insert, 4400, 9677800, 0, 0.020492
merge, 4400, 28357, 53408, 0.000654
quick, 4500, 66533, 32958, 0.000259
insert, 4500, 10122750, 0, 0.021306
merge, 4500, 29225, 54808, 0.000633
quick, 4600, 75314, 34122, 0.000285
insert, 4600, 10577700, 0, 0.022520
merge, 4600, 29967, 56208, 0.000903
quick, 4700, 72775, 44067, 0.000286
insert, 4700, 11042650, 0, 0.022915
merge, 4700, 30687, 57608, 0.000679
quick, 4800, 69161, 36545, 0.000276
insert, 4800, 11517600, 0, 0.024867
merge, 4800, 31463, 59008, 0.000907
quick, 4900, 68398, 33602, 0.000289
insert, 4900, 12002550, 0, 0.025505
merge, 4900, 32283, 60408, 0.000725
quick, 5000, 74806, 36241, 0.000300
insert, 5000, 12497500, 0, 0.026228
merge, 5000, 33179, 61808, 0.000924
quick, 5100, 75052, 32036, 0.000301
insert, 5100, 13002450, 0, 0.028528
merge, 5100, 34016, 63208, 0.000866
quick, 5200, 81396, 37364, 0.000325
insert, 5200, 13517400, 0, 0.028873
merge, 5200, 34770, 64608, 0.000774
quick, 5300, 75822, 37160, 0.000308
insert, 5300, 14042350, 0, 0.028855
merge, 5300, 35458, 66008, 0.001166
quick, 5400, 79507, 42525, 0.000421
insert, 5400, 14577300, 0, 0.030971
merge, 5400, 36192, 67408, 0.000863
quick, 5500, 75024, 37413, 0.000360
